Time(sec),Data
0.0,0.5
0.5,0.5
1.0,0.5
1.5,0.5
2.0,0.5
2.5,0.5
3.0,0.5
3.5,0.5
4.0,0.5
4.5,0.5
5.0,0.5
5.5,0.5
6.0,0.5
6.5,0.5
7.0,0.5
7.5,0.5
8.0,0.5
8.5,0.5
9.0,0.5
9.5,0.5
10.0,0.5
10.5,0.5
11.0,0.5
11.5,0.5
12.0,0.5
12.5,0.5
13.0,0.44
13.5,0.44
14.0,0.44
14.5,0.44
15.0,0.4
15.5,0.38
16.0,0.35
16.5,0.35
17.0,0.32
17.5,0.28
18.0,0.28
18.5,0.28
19.0,0.28
19.5,0.215
20.0,0.18
20.5,0.13
21.0,0.09
21.5,0.09
22.0,0.09
22.5,0.09
23.0,0.09
23.5,0.09
24.0,0.09
24.5,0.09
25.0,0.36800000000000005
25.5,0.8
26.0,0.76
26.5,0.84
27.0,0.96
27.5,0.96
28.0,0.96
28.5,0.96
29.0,0.96
29.5,0.98
30.0,0.99
30.5,0.99
31.0,0.99
31.5,0.99
32.0,0.99
32.5,0.99
33.0,0.99
33.5,0.88
34.0,0.95
34.5,0.97
35.0,0.97
35.5,0.97
36.0,0.97
36.5,0.97
37.0,0.97
37.5,0.24
38.0,0.04
38.5,0.02
39.0,0.02
39.5,0.02
40.0,0.09
40.5,0.11
41.0,0.2
41.5,0.2
42.0,0.24
42.5,0.35
43.0,0.39
43.5,0.54
44.0,0.56
44.5,0.62
45.0,0.67
45.5,0.7
46.0,0.71
46.5,0.71
47.0,0.72
47.5,0.72
48.0,0.72
48.5,0.72
49.0,0.72
49.5,0.72
50.0,0.72
50.5,0.72
51.0,0.72
51.5,0.72
52.0,0.72
52.5,0.72
53.0,0.66
53.5,0.57
54.0,0.51
54.5,0.45
55.0,0.4
55.5,0.31
56.0,0.27
56.5,0.25
57.0,0.24
57.5,0.24
58.0,0.23
58.5,0.19
59.0,0.01
59.5,0.0
60.0,0.0
60.5,0.0
61.0,0.0
61.5,0.0
62.0,0.0
62.5,0.0
63.0,0.0
63.5,0.0
64.0,0.0
64.5,0.03
65.0,0.04
65.5,0.11
66.0,0.23
66.5,0.6375000000000001
67.0,0.88
67.5,0.92
68.0,0.97
68.5,0.97
69.0,0.98
69.5,0.99
70.0,0.99
70.5,0.91
71.0,0.87
71.5,0.87
72.0,0.87
72.5,0.87
73.0,0.87
73.5,0.84
74.0,0.82
74.5,0.74
75.0,0.67
75.5,0.61
76.0,0.59
76.5,0.46
77.0,0.335
77.5,0.31
78.0,0.23
78.5,0.09
79.0,0.03
79.5,0.0
80.0,0.0
80.5,0.0
81.0,0.0
81.5,0.0
82.0,0.0
82.5,0.0
83.0,0.0
83.5,0.0
84.0,0.03
84.5,0.03
85.0,0.09
85.5,0.06
86.0,0.0
86.5,0.0
87.0,0.0
87.5,0.06
88.0,0.16
88.5,0.25
89.0,0.37
89.5,0.47
90.0,0.57
90.5,0.71
91.0,0.92
91.5,0.92
92.0,0.99
92.5,0.99
93.0,0.99
93.5,0.99
94.0,0.99
94.5,0.99
95.0,0.99
95.5,0.99
96.0,0.99
96.5,0.99
97.0,0.92
97.5,0.92
98.0,0.92
98.5,0.92
99.0,0.92
99.5,0.93
100.0,0.93
100.5,0.93
101.0,0.93
101.5,0.93
102.0,0.93
102.5,0.93
103.0,0.93
103.5,0.93
104.0,0.96
104.5,0.97
105.0,0.97
105.5,0.97
106.0,0.97
106.5,0.97
107.0,0.97
107.5,0.97
108.0,0.97
108.5,0.97
109.0,0.97
109.5,0.97
110.0,0.97
110.5,0.97
111.0,0.97
111.5,0.97
112.0,0.97
112.5,0.97
113.0,0.97
113.5,0.97
114.0,0.97
114.5,0.97
115.0,0.97
115.5,0.95
116.0,0.94
116.5,0.92
117.0,0.87
117.5,0.87
118.0,0.87
118.5,0.87
119.0,0.87
119.5,0.87
120.0,0.87
120.5,0.87
121.0,0.87
121.5,0.87
122.0,0.87
122.5,0.87
123.0,0.87
123.5,0.87
124.0,0.87
124.5,0.87
125.0,0.88
125.5,0.88
126.0,0.88
126.5,0.88
127.0,0.88
127.5,0.88
128.0,0.88
128.5,0.88
129.0,0.88
129.5,0.88
130.0,0.88
130.5,0.88
131.0,0.88
131.5,0.88
132.0,0.88
132.5,0.88
133.0,0.88
133.5,0.88
134.0,0.88
134.5,0.88
135.0,0.88
135.5,0.88
136.0,0.89
136.5,0.89
137.0,0.89
137.5,0.89
138.0,0.89
138.5,0.89
139.0,0.89
139.5,0.89
140.0,0.89
140.5,0.89
141.0,0.89
141.5,0.89
142.0,0.89
142.5,0.89
143.0,0.89
143.5,0.89
144.0,0.89
144.5,0.89
145.0,0.89
