Time(sec),Data
0.0,0.51
0.5,0.51
1.0,0.51
1.5,0.51
2.0,0.51
2.5,0.51
3.0,0.51
3.5,0.51
4.0,0.51
4.5,0.51
5.0,0.51
5.5,0.51
6.0,0.51
6.5,0.51
7.0,0.51
7.5,0.51
8.0,0.51
8.5,0.51
9.0,0.51
9.5,0.51
10.0,0.51
10.5,0.51
11.0,0.51
11.5,0.51
12.0,0.51
12.5,0.51
13.0,0.53
13.5,0.54
14.0,0.5
14.5,0.45
15.0,0.43
15.5,0.43
16.0,0.43
16.5,0.43
17.0,0.39
17.5,0.36
18.0,0.35
18.5,0.34
19.0,0.34
19.5,0.32
20.0,0.32
20.5,0.3
21.0,0.29
21.5,0.28
22.0,0.28
22.5,0.28
23.0,0.28
23.5,0.28
24.0,0.28
24.5,0.41
25.0,0.56
25.5,0.6
26.0,0.71
26.5,0.76
27.0,0.77
27.5,0.77
28.0,0.8
28.5,0.86
29.0,0.86
29.5,0.86
30.0,0.86
30.5,0.86
31.0,0.86
31.5,0.86
32.0,0.86
32.5,0.86
33.0,0.86
33.5,0.86
34.0,0.86
34.5,0.77
35.0,0.71
35.5,0.66
36.0,0.63
36.5,0.6
37.0,0.52
37.5,0.44
38.0,0.34
38.5,0.32
39.0,0.32
39.5,0.32
40.0,0.32
40.5,0.32
41.0,0.32
41.5,0.36
42.0,0.38
42.5,0.39
43.0,0.41
43.5,0.42
44.0,0.42
44.5,0.42
45.0,0.42
45.5,0.42
46.0,0.42
46.5,0.42
47.0,0.42
47.5,0.42
48.0,0.42
48.5,0.42
49.0,0.42
49.5,0.42
50.0,0.42
50.5,0.42
51.0,0.42
51.5,0.42
52.0,0.42
52.5,0.42
53.0,0.42
53.5,0.42
54.0,0.42
54.5,0.42
55.0,0.4
55.5,0.33
56.0,0.28
56.5,0.24
57.0,0.22
57.5,0.21
58.0,0.21
58.5,0.2
59.0,0.2
59.5,0.18
60.0,0.15
60.5,0.13
61.0,0.12
61.5,0.1
62.0,0.07
62.5,0.07
63.0,0.19
63.5,0.25
64.0,0.32
64.5,0.4
65.0,0.42
65.5,0.47
66.0,0.56
66.5,0.66
67.0,0.72
67.5,0.77
68.0,0.83
68.5,0.87
69.0,0.93
69.5,0.94
70.0,0.95
70.5,0.95
71.0,0.95
71.5,0.95
72.0,0.91
72.5,0.88
73.0,0.84
73.5,0.79
74.0,0.76
74.5,0.73
75.0,0.69
75.5,0.64
76.0,0.6
76.5,0.56
77.0,0.53
77.5,0.48
78.0,0.42
78.5,0.38
79.0,0.31
79.5,0.28
80.0,0.26
80.5,0.26
81.0,0.26
81.5,0.26
82.0,0.26
82.5,0.26
83.0,0.26
83.5,0.26
84.0,0.26
84.5,0.26
85.0,0.26
85.5,0.26
86.0,0.24
86.5,0.19
87.0,0.18
87.5,0.18
88.0,0.26
88.5,0.39
89.0,0.48
89.5,0.53
90.0,0.58
90.5,0.61
91.0,0.65
91.5,0.69
92.0,0.7
92.5,0.7
93.0,0.7
93.5,0.7
94.0,0.71
94.5,0.73
95.0,0.74
95.5,0.74
96.0,0.74
96.5,0.74
97.0,0.74
97.5,0.74
98.0,0.74
98.5,0.74
99.0,0.74
99.5,0.74
100.0,0.74
100.5,0.74
101.0,0.74
101.5,0.74
102.0,0.74
102.5,0.74
103.0,0.74
103.5,0.74
104.0,0.74
104.5,0.74
105.0,0.74
105.5,0.74
106.0,0.74
106.5,0.74
107.0,0.74
107.5,0.74
108.0,0.74
108.5,0.74
109.0,0.74
109.5,0.74
110.0,0.74
110.5,0.74
111.0,0.74
111.5,0.74
112.0,0.74
112.5,0.74
113.0,0.74
113.5,0.74
114.0,0.74
114.5,0.74
115.0,0.74
115.5,0.74
116.0,0.74
116.5,0.74
117.0,0.74
117.5,0.74
118.0,0.74
118.5,0.74
119.0,0.74
119.5,0.74
120.0,0.74
120.5,0.74
121.0,0.74
121.5,0.74
122.0,0.74
122.5,0.74
123.0,0.74
123.5,0.74
124.0,0.74
124.5,0.74
125.0,0.74
125.5,0.74
126.0,0.74
126.5,0.74
127.0,0.74
127.5,0.74
128.0,0.74
128.5,0.74
129.0,0.74
129.5,0.74
130.0,0.74
130.5,0.74
131.0,0.74
131.5,0.74
132.0,0.74
132.5,0.74
133.0,0.74
133.5,0.74
134.0,0.74
134.5,0.74
135.0,0.74
135.5,0.74
136.0,0.74
136.5,0.74
137.0,0.74
137.5,0.74
138.0,0.74
138.5,0.74
139.0,0.74
139.5,0.74
140.0,0.74
140.5,0.74
141.0,0.74
141.5,0.74
142.0,0.74
142.5,0.74
143.0,0.74
143.5,0.74
144.0,0.74
144.5,0.74
145.0,0.6
145.5,0.41
146.0,0.25
146.5,0.13
147.0,0.04
147.5,0.0
148.0,0.0
148.5,0.0
149.0,0.0
149.5,0.06
150.0,0.11
