Time(sec),Data
0.0,0.5
0.5,0.5
1.0,0.5
1.5,0.5
2.0,0.5
2.5,0.5
3.0,0.5
3.5,0.5
4.0,0.5
4.5,0.5
5.0,0.5
5.5,0.5
6.0,0.5
6.5,0.5
7.0,0.5
7.5,0.5
8.0,0.5
8.5,0.5
9.0,0.5
9.5,0.5
10.0,0.5
10.5,0.5
11.0,0.5
11.5,0.5
12.0,0.5
12.5,0.5
13.0,0.5
13.5,0.5
14.0,0.5
14.5,0.5
15.0,0.5
15.5,0.5
16.0,0.51
16.5,0.45
17.0,0.41
17.5,0.36
18.0,0.35
18.5,0.31
19.0,0.3
19.5,0.26
20.0,0.19
20.5,0.18
21.0,0.14
21.5,0.12
22.0,0.07
22.5,0.06
23.0,0.05
23.5,0.03
24.0,0.03
24.5,0.15
25.0,0.38
25.5,0.61
26.0,0.86
26.5,0.99
27.0,0.99
27.5,0.99
28.0,0.98
28.5,0.98
29.0,0.97
29.5,0.97
30.0,0.93
30.5,0.93
31.0,0.88
31.5,0.88
32.0,0.98
32.5,0.99
33.0,0.99
33.5,0.99
34.0,0.99
34.5,0.91
35.0,0.87
35.5,0.77
36.0,0.66
36.5,0.51
37.0,0.24
37.5,0.15
38.0,0.02
38.5,0.12
39.0,0.16
39.5,0.17
40.0,0.36
40.5,0.45
41.0,0.505
41.5,0.56
42.0,0.61
42.5,0.64
43.0,0.64
43.5,0.67
44.0,0.67
44.5,0.67
45.0,0.67
45.5,0.66
46.0,0.66
46.5,0.66
47.0,0.66
47.5,0.66
48.0,0.66
48.5,0.66
49.0,0.66
49.5,0.66
50.0,0.66
50.5,0.66
51.0,0.66
51.5,0.66
52.0,0.66
52.5,0.66
53.0,0.66
53.5,0.66
54.0,0.66
54.5,0.66
55.0,0.66
55.5,0.66
56.0,0.59
56.5,0.49
57.0,0.43
57.5,0.39
58.0,0.33
58.5,0.23
59.0,0.14
59.5,0.06
60.0,0.05
60.5,0.0
61.0,0.0
61.5,0.0
62.0,0.0
62.5,0.0
63.0,0.24
63.5,0.29
64.0,0.31
64.5,0.37
65.0,0.49
65.5,0.57
66.0,0.66
66.5,0.74
67.0,0.8
67.5,0.82
68.0,0.86
68.5,0.88
69.0,0.92
69.5,0.92
70.0,0.94
70.5,0.95
71.0,0.82
71.5,0.79
72.0,0.79
72.5,0.785
73.0,0.73
73.5,0.7
74.0,0.67
74.5,0.53
75.0,0.46
75.5,0.41
76.0,0.4
76.5,0.4
77.0,0.4
77.5,0.4
78.0,0.31
78.5,0.26
79.0,0.24
79.5,0.18
80.0,0.13
80.5,0.09
81.0,0.07
81.5,0.03
82.0,0.04
82.5,0.04
83.0,0.06
83.5,0.08
84.0,0.06
84.5,0.04
85.0,0.04
85.5,0.03
86.0,0.02
86.5,0.02
87.0,0.02
87.5,0.02
88.0,0.11
88.5,0.23
89.0,0.34
89.5,0.39
90.0,0.46
90.5,0.51
91.0,0.59
91.5,0.66
92.0,0.71
92.5,0.71
93.0,0.71
93.5,0.71
94.0,0.71
94.5,0.71
95.0,0.71
95.5,0.75
96.0,0.75
96.5,0.75
97.0,0.75
97.5,0.74
98.0,0.73
98.5,0.73
99.0,0.73
99.5,0.75
100.0,0.78
100.5,0.78
101.0,0.78
101.5,0.78
102.0,0.78
102.5,0.78
103.0,0.78
103.5,0.78
104.0,0.78
104.5,0.78
105.0,0.78
105.5,0.78
106.0,0.78
106.5,0.78
107.0,0.78
107.5,0.78
108.0,0.78
108.5,0.78
109.0,0.78
109.5,0.78
110.0,0.78
110.5,0.78
111.0,0.78
111.5,0.78
112.0,0.78
112.5,0.78
113.0,0.78
113.5,0.78
114.0,0.78
114.5,0.78
115.0,0.78
115.5,0.78
116.0,0.78
116.5,0.78
117.0,0.78
117.5,0.78
118.0,0.78
118.5,0.78
119.0,0.78
119.5,0.78
120.0,0.78
120.5,0.78
121.0,0.78
121.5,0.78
122.0,0.78
122.5,0.78
123.0,0.78
123.5,0.78
124.0,0.78
124.5,0.78
125.0,0.78
125.5,0.78
126.0,0.78
126.5,0.78
127.0,0.78
127.5,0.78
128.0,0.78
128.5,0.78
129.0,0.78
129.5,0.78
130.0,0.78
130.5,0.78
131.0,0.78
131.5,0.78
132.0,0.78
132.5,0.78
133.0,0.78
133.5,0.78
134.0,0.78
134.5,0.78
135.0,0.78
135.5,0.78
136.0,0.78
136.5,0.78
137.0,0.78
137.5,0.78
138.0,0.78
138.5,0.78
139.0,0.82
139.5,0.82
140.0,0.82
140.5,0.82
141.0,0.82
141.5,0.82
142.0,0.82
142.5,0.82
143.0,0.82
143.5,0.82
144.0,0.82
144.5,0.82
145.0,0.82
145.5,0.82
146.0,0.82
