Time(sec),Data
0.0,0.5
0.5,0.5
1.0,0.5
1.5,0.5
2.0,0.5
2.5,0.5
3.0,0.5
3.5,0.5
4.0,0.5
4.5,0.5
5.0,0.5
5.5,0.5
6.0,0.5
6.5,0.5
7.0,0.5
7.5,0.5
8.0,0.5
8.5,0.5
9.0,0.5
9.5,0.5
10.0,0.5
10.5,0.5
11.0,0.5
11.5,0.5
12.0,0.51
12.5,0.495
13.0,0.45
13.5,0.46
14.0,0.45
14.5,0.43
15.0,0.42
15.5,0.41
16.0,0.39
16.5,0.38
17.0,0.37
17.5,0.37
18.0,0.37
18.5,0.36
19.0,0.35
19.5,0.37
20.0,0.35
20.5,0.33
21.0,0.32
21.5,0.3
22.0,0.28
22.5,0.28
23.0,0.28
23.5,0.28
24.0,0.29
24.5,0.39
25.0,0.505
25.5,0.63
26.0,0.71
26.5,0.77
27.0,0.79
27.5,0.84
28.0,0.88
28.5,0.88
29.0,0.88
29.5,0.9
30.0,0.92
30.5,0.91
31.0,0.91
31.5,0.91
32.0,0.91
32.5,0.91
33.0,0.91
33.5,0.91
34.0,0.91
34.5,0.87
35.0,0.775
35.5,0.66
36.0,0.56
36.5,0.51
37.0,0.41
37.5,0.38
38.0,0.38
38.5,0.39
39.0,0.39
39.5,0.39
40.0,0.39
40.5,0.39
41.0,0.41
41.5,0.48
42.0,0.52
42.5,0.56
43.0,0.57
43.5,0.6
44.0,0.62
44.5,0.63
45.0,0.655
45.5,0.67
46.0,0.67
46.5,0.68
47.0,0.68
47.5,0.7
48.0,0.7
48.5,0.67
49.0,0.64
49.5,0.63
50.0,0.64
50.5,0.64
51.0,0.62
51.5,0.62
52.0,0.62
52.5,0.62
53.0,0.62
53.5,0.62
54.0,0.62
54.5,0.58
55.0,0.55
55.5,0.51
56.0,0.46
56.5,0.43
57.0,0.43
57.5,0.42
58.0,0.42
58.5,0.4
59.0,0.32
59.5,0.27
60.0,0.25
60.5,0.23
61.0,0.18
61.5,0.14
62.0,0.1
62.5,0.11
63.0,0.2
63.5,0.26
64.0,0.27
64.5,0.28500000000000003
65.0,0.47
65.5,0.57
66.0,0.68
66.5,0.71
67.0,0.74
67.5,0.82
68.0,0.84
68.5,0.86
69.0,0.88
69.5,0.88
70.0,0.9
70.5,0.86
71.0,0.86
71.5,0.85
72.0,0.84
72.5,0.87
73.0,0.84
73.5,0.72
74.0,0.61
74.5,0.53
75.0,0.4
75.5,0.32
76.0,0.26
76.5,0.25
77.0,0.225
77.5,0.22
78.0,0.2
78.5,0.19
79.0,0.22
79.5,0.22
80.0,0.22
80.5,0.23
81.0,0.24
81.5,0.25
82.0,0.25
82.5,0.25
83.0,0.22
83.5,0.2
84.0,0.2
84.5,0.17
85.0,0.14
85.5,0.14
86.0,0.14
86.5,0.13
87.0,0.13
87.5,0.14
88.0,0.25
88.5,0.34
89.0,0.48
89.5,0.52
90.0,0.53
90.5,0.55
91.0,0.67
91.5,0.69
92.0,0.7
92.5,0.72
93.0,0.73
93.5,0.74
94.0,0.75
94.5,0.75
95.0,0.76
95.5,0.76
96.0,0.76
96.5,0.74
97.0,0.72
97.5,0.71
98.0,0.7
98.5,0.7
99.0,0.67
99.5,0.67
100.0,0.65
100.5,0.63
101.0,0.61
101.5,0.61
102.0,0.61
102.5,0.61
103.0,0.61
103.5,0.6
104.0,0.6
104.5,0.59
105.0,0.55
105.5,0.54
106.0,0.54
106.5,0.54
107.0,0.54
107.5,0.54
108.0,0.54
108.5,0.54
109.0,0.54
109.5,0.54
110.0,0.54
110.5,0.54
111.0,0.53
111.5,0.53
112.0,0.53
112.5,0.53
113.0,0.53
113.5,0.53
114.0,0.53
114.5,0.53
115.0,0.53
115.5,0.53
116.0,0.53
116.5,0.53
117.0,0.53
117.5,0.53
118.0,0.52
118.5,0.52
119.0,0.52
119.5,0.52
120.0,0.52
120.5,0.52
121.0,0.52
121.5,0.52
122.0,0.52
122.5,0.52
123.0,0.52
123.5,0.52
124.0,0.52
124.5,0.52
125.0,0.52
125.5,0.55
126.0,0.56
126.5,0.58
127.0,0.6
127.5,0.6
128.0,0.6
128.5,0.6
129.0,0.6
129.5,0.6
130.0,0.61
130.5,0.6
131.0,0.59
131.5,0.59
132.0,0.58
132.5,0.58
133.0,0.58
133.5,0.57
134.0,0.57
134.5,0.57
135.0,0.57
135.5,0.56
136.0,0.55
136.5,0.55
137.0,0.54
137.5,0.54
138.0,0.54
138.5,0.54
139.0,0.53
139.5,0.52
140.0,0.52
140.5,0.52
141.0,0.52
141.5,0.52
142.0,0.52
142.5,0.52
143.0,0.52
143.5,0.52
144.0,0.52
144.5,0.52
145.0,0.52
145.5,0.5
