Time(sec),Data
0.0,0.5
0.5,0.5
1.0,0.52
1.5,0.56
2.0,0.58
2.5,0.56
3.0,0.64
3.5,0.76
4.0,0.76
4.5,0.74
5.0,0.77
5.5,0.78
6.0,0.78
6.5,0.78
7.0,0.75
7.5,0.75
8.0,0.74
8.5,0.74
9.0,0.74
9.5,0.74
10.0,0.74
10.5,0.74
11.0,0.68
11.5,0.57
12.0,0.49
12.5,0.42
13.0,0.38
13.5,0.3
14.0,0.26
14.5,0.25
15.0,0.24
15.5,0.24
16.0,0.25
16.5,0.23
17.0,0.22
17.5,0.2
18.0,0.19
18.5,0.17
19.0,0.16
19.5,0.14
20.0,0.13
20.5,0.12
21.0,0.1
21.5,0.1
22.0,0.08
22.5,0.08
23.0,0.08
23.5,0.08
24.0,0.35750000000000004
24.5,0.69
25.0,0.89
25.5,0.95
26.0,0.95
26.5,0.97
27.0,0.98
27.5,0.98
28.0,0.98
28.5,0.97
29.0,0.97
29.5,0.97
30.0,0.97
30.5,0.97
31.0,0.97
31.5,0.97
32.0,0.97
32.5,0.96
33.0,0.96
33.5,0.96
34.0,0.96
34.5,0.92
35.0,0.83
35.5,0.7
36.0,0.58
36.5,0.42
37.0,0.25
37.5,0.07
38.0,0.02
38.5,0.05
39.0,0.11
39.5,0.15
40.0,0.16
40.5,0.18
41.0,0.2
41.5,0.2
42.0,0.22
42.5,0.25
43.0,0.26
43.5,0.29
44.0,0.375
44.5,0.45
45.0,0.52
45.5,0.52
46.0,0.58
46.5,0.59
47.0,0.6
47.5,0.6
48.0,0.61
48.5,0.61
49.0,0.61
49.5,0.61
50.0,0.62
50.5,0.63
51.0,0.63
51.5,0.63
52.0,0.63
52.5,0.58
53.0,0.52
53.5,0.45
54.0,0.41
54.5,0.38
55.0,0.34
55.5,0.28
56.0,0.19
56.5,0.13
57.0,0.12
57.5,0.1
58.0,0.07
58.5,0.06
59.0,0.05
59.5,0.04
60.0,0.02
60.5,0.0
61.0,0.01
61.5,0.01
62.0,0.01
62.5,0.01
63.0,0.07
63.5,0.12
64.0,0.23
64.5,0.31
65.0,0.37
65.5,0.47
66.0,0.56
66.5,0.66
67.0,0.79
67.5,0.88
68.0,0.92
68.5,0.94
69.0,0.98
69.5,0.87
70.0,0.86
70.5,0.83
71.0,0.81
71.5,0.81
72.0,0.78
72.5,0.76
73.0,0.74
73.5,0.69
74.0,0.67
74.5,0.66
75.0,0.61
75.5,0.56
76.0,0.51
76.5,0.45
77.0,0.4
77.5,0.38
78.0,0.31
78.5,0.31
79.0,0.26
79.5,0.22
80.0,0.2
80.5,0.21
81.0,0.18
81.5,0.16
82.0,0.13
82.5,0.13
83.0,0.13
83.5,0.13
84.0,0.12
84.5,0.11
85.0,0.09
85.5,0.07
86.0,0.05
86.5,0.05
87.0,0.03
87.5,0.03
88.0,0.16
88.5,0.29
89.0,0.43
89.5,0.47
90.0,0.52
90.5,0.62
91.0,0.67
91.5,0.68
92.0,0.68
92.5,0.69
93.0,0.7
93.5,0.7
94.0,0.7
94.5,0.7
95.0,0.71
95.5,0.71
96.0,0.71
96.5,0.7
97.0,0.73
97.5,0.74
98.0,0.74
98.5,0.74
99.0,0.74
99.5,0.77
100.0,0.8
100.5,0.81
101.0,0.83
101.5,0.84
102.0,0.84
102.5,0.83
103.0,0.83
103.5,0.84
104.0,0.84
104.5,0.8
105.0,0.8
105.5,0.8
106.0,0.79
106.5,0.79
107.0,0.79
107.5,0.77
108.0,0.76
108.5,0.79
109.0,0.8
109.5,0.8
110.0,0.79
110.5,0.79
111.0,0.79
111.5,0.79
112.0,0.79
112.5,0.79
113.0,0.78
113.5,0.77
114.0,0.75
114.5,0.75
115.0,0.75
115.5,0.75
116.0,0.75
116.5,0.75
117.0,0.75
117.5,0.75
118.0,0.79
118.5,0.8
119.0,0.81
119.5,0.81
120.0,0.82
120.5,0.83
121.0,0.81
121.5,0.79
122.0,0.79
122.5,0.79
123.0,0.79
123.5,0.79
124.0,0.79
124.5,0.78
125.0,0.79
125.5,0.8
126.0,0.82
126.5,0.82
127.0,0.82
127.5,0.82
128.0,0.82
128.5,0.82
129.0,0.82
129.5,0.82
130.0,0.82
130.5,0.8
131.0,0.82
131.5,0.81
132.0,0.81
132.5,0.81
133.0,0.82
133.5,0.82
134.0,0.82
134.5,0.82
135.0,0.82
135.5,0.83
136.0,0.81
136.5,0.81
137.0,0.8
137.5,0.82
138.0,0.82
138.5,0.82
139.0,0.82
139.5,0.8
140.0,0.8
140.5,0.8
141.0,0.82
141.5,0.79
142.0,0.77
142.5,0.78
143.0,0.79
143.5,0.84
144.0,0.86
144.5,0.74
145.0,0.46
145.5,0.25
