Time_seconds,Data
0,0.5
0.5,0.5
1,0.5
1.5,0.5
2,0.5
2.5,0.5
3,0.5
3.5,0.5
4,0.5
4.5,0.5
5,0.5
5.5,0.5
6,0.5
6.5,0.5
7,0.5
7.5,0.5
8,0.5
8.5,0.5
9,0.5
9.5,0.5
10,0.5
10.5,0.5
11,0.51
11.5,0.495
12,0.45
12.5,0.46
13,0.45
13.5,0.43
14,0.42
14.5,0.41
15,0.39
15.5,0.38
16,0.37
16.5,0.37
17,0.37
17.5,0.36
18,0.35
18.5,0.37
19,0.35
19.5,0.33
20,0.32
20.5,0.3
21,0.28
21.5,0.28
22,0.28
22.5,0.28
23,0.29
23.5,0.39
24,0.505
24.5,0.63
25,0.71
25.5,0.77
26,0.79
26.5,0.84
27,0.88
27.5,0.88
28,0.88
28.5,0.9
29,0.92
29.5,0.91
30,0.91
30.5,0.91
31,0.91
31.5,0.91
32,0.91
32.5,0.91
33,0.91
33.5,0.87
34,0.775
34.5,0.66
35,0.56
35.5,0.51
36,0.41
36.5,0.38
37,0.38
37.5,0.39
38,0.39
38.5,0.39
39,0.39
39.5,0.39
40,0.41
40.5,0.48
41,0.52
41.5,0.56
42,0.57
42.5,0.6
43,0.62
43.5,0.63
44,0.655
44.5,0.67
45,0.67
45.5,0.68
46,0.68
46.5,0.7
47,0.7
47.5,0.67
48,0.64
48.5,0.63
49,0.64
49.5,0.64
50,0.62
50.5,0.62
51,0.62
51.5,0.62
52,0.62
52.5,0.62
53,0.62
53.5,0.58
54,0.55
54.5,0.51
55,0.46
55.5,0.43
56,0.43
56.5,0.42
57,0.42
57.5,0.4
58,0.32
58.5,0.27
59,0.25
59.5,0.23
60,0.18
60.5,0.14
61,0.1
61.5,0.11
62,0.2
62.5,0.26
63,0.27
63.5,0.285
64,0.47
64.5,0.57
65,0.68
65.5,0.71
66,0.74
66.5,0.82
67,0.84
67.5,0.86
68,0.88
68.5,0.88
69,0.9
69.5,0.86
70,0.86
70.5,0.85
71,0.84
71.5,0.87
72,0.84
72.5,0.72
73,0.61
73.5,0.53
74,0.4
74.5,0.32
75,0.26
75.5,0.25
76,0.225
76.5,0.22
77,0.2
77.5,0.19
78,0.22
78.5,0.22
79,0.22
79.5,0.23
80,0.24
80.5,0.25
81,0.25
81.5,0.25
82,0.22
82.5,0.2
83,0.2
83.5,0.17
84,0.14
84.5,0.14
85,0.14
85.5,0.13
86,0.13
86.5,0.14
87,0.25
87.5,0.34
88,0.48
88.5,0.52
89,0.53
89.5,0.55
90,0.67
90.5,0.69
91,0.7
91.5,0.72
92,0.73
92.5,0.74
93,0.75
93.5,0.75
94,0.76
94.5,0.76
95,0.76
95.5,0.74
96,0.72
96.5,0.71
97,0.7
97.5,0.7
98,0.67
98.5,0.67
99,0.65
99.5,0.63
100,0.61
100.5,0.61
101,0.61
101.5,0.61
102,0.61
102.5,0.6
103,0.6
103.5,0.59
104,0.55
104.5,0.54
105,0.54
105.5,0.54
106,0.54
106.5,0.54
107,0.54
107.5,0.54
108,0.54
108.5,0.54
109,0.54
109.5,0.54
110,0.53
110.5,0.53
111,0.53
111.5,0.53
112,0.53
112.5,0.53
113,0.53
113.5,0.53
114,0.53
114.5,0.53
115,0.53
115.5,0.53
116,0.53
116.5,0.53
117,0.52
117.5,0.52
118,0.52
118.5,0.52
119,0.52
119.5,0.52
120,0.52
120.5,0.52
121,0.52
121.5,0.52
122,0.52
122.5,0.52
123,0.52
123.5,0.52
124,0.52
124.5,0.55
125,0.56
125.5,0.58
126,0.6
126.5,0.6
127,0.6
127.5,0.6
128,0.6
128.5,0.6
129,0.61
129.5,0.6
130,0.59
130.5,0.59
131,0.58
131.5,0.58
132,0.58
132.5,0.57
133,0.57
133.5,0.57
134,0.57
134.5,0.56
135,0.55
135.5,0.55
136,0.54
136.5,0.54
137,0.54
137.5,0.54
138,0.53
138.5,0.52
139,0.52
139.5,0.52
140,0.52
140.5,0.52
141,0.52
141.5,0.52
142,0.52
142.5,0.52
143,0.52
143.5,0.52
144,0.52
144.5,0.5
145,0.34
145.5,0.26
146,0.21
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0.03
149.5,0.11
150,0.12
150.5,0.13
151,0.14
151.5,0.15
152,0.24
152.5,0.26
153,0.29
153.5,0.3
154,0.41
154.5,0.47
155,0.5
155.5,0.55
156,0.56
156.5,0.59
157,0.64
157.5,0.65
158,0.62
158.5,0.62
159,0.62
159.5,0.62
160,0.62
160.5,0.62
161,0.63
161.5,0.63
162,0.63
162.5,0.63
163,0.63
163.5,0.59
164,0.49
164.5,0.45
165,0.42
165.5,0.42
166,0.4
166.5,0.35
167,0.31
167.5,0.29
168,0.23
168.5,0.17
169,0.18
169.5,0.16
170,0.11
170.5,0.13
171,0.16
171.5,0.23
172,0.32
172.5,0.42
173,0.45
173.5,0.48
174,0.49
174.5,0.49
175,0.54
175.5,0.65
176,0.76
176.5,0.82
177,0.87
177.5,0.92
178,0.93
178.5,0.94
179,0.96
179.5,0.88
180,0.75
180.5,0.56
181,0.51
181.5,0.43
182,0.31
182.5,0.27
183,0.24
183.5,0.22
184,0.22
184.5,0.21
185,0.2
185.5,0.18
186,0.17
186.5,0.17
187,0.16
187.5,0.15
188,0.15
188.5,0.14
189,0.15
189.5,0.16
190,0.19
190.5,0.22
191,0.22
191.5,0.16
192,0.13
192.5,0.11
193,0.11
193.5,0.18
194,0.18
194.5,0.18
195,0.19
195.5,0.22
196,0.26
196.5,0.42
197,0.55
197.5,0.56
198,0.56
198.5,0.61
199,0.68
199.5,0.68
200,0.68
200.5,0.68
201,0.78
201.5,0.81
202,0.88
202.5,0.93
203,0.94
203.5,0.97
204,0.92
204.5,0.33
205,0.16
205.5,0.16
206,0.22
206.5,0.23
207,0.24
207.5,0.28
208,0.33
208.5,0.4
209,0.475
209.5,0.51
210,0.53
210.5,0.58
211,0.62
211.5,0.67
212,0.71
212.5,0.71
213,0.74
213.5,0.7
214,0.595
214.5,0.52
215,0.47
215.5,0.46
216,0.32
216.5,0.2
217,0.18
217.5,0.34
218,0.42
218.5,0.56
219,0.61
219.5,0.63
220,0.63
220.5,0.64
221,0.66
221.5,0.67
222,0.65
222.5,0.64
223,0.64
223.5,0.63
224,0.61
224.5,0.59
225,0.58
225.5,0.54
226,0.51
226.5,0.51
227,0.45
227.5,0.43
228,0.41
228.5,0.43
229,0.46
229.5,0.46
230,0.46
230.5,0.45
231,0.45
231.5,0.47
232,0.48
232.5,0.49
233,0.48
233.5,0.43
234,0.35
234.5,0.28
235,0.28
235.5,0.32
236,0.32
236.5,0.32
237,0.33
237.5,0.32
238,0.22
238.5,0.2
239,0.25
239.5,0.29
240,0.19
240.5,0.13
241,0.13
241.5,0.14
242,0.41
242.5,0.44
243,0.44
