Time_seconds,Data
0,0.5
0.5,0.5
1,0.5
1.5,0.5
2,0.5
2.5,0.5
3,0.5
3.5,0.5
4,0.5
4.5,0.5
5,0.5
5.5,0.5
6,0.5
6.5,0.5
7,0.5
7.5,0.5
8,0.5
8.5,0.5
9,0.5
9.5,0.5
10,0.5
10.5,0.5
11,0.5
11.5,0.5
12,0.5
12.5,0.5
13,0.5
13.5,0.5
14,0.5
14.5,0.51
15,0.45
15.5,0.41
16,0.36
16.5,0.35
17,0.31
17.5,0.3
18,0.26
18.5,0.19
19,0.18
19.5,0.14
20,0.12
20.5,0.07
21,0.06
21.5,0.05
22,0.03
22.5,0.03
23,0.15
23.5,0.38
24,0.61
24.5,0.86
25,0.99
25.5,0.99
26,0.99
26.5,0.98
27,0.98
27.5,0.97
28,0.97
28.5,0.93
29,0.93
29.5,0.88
30,0.88
30.5,0.98
31,0.99
31.5,0.99
32,0.99
32.5,0.99
33,0.91
33.5,0.87
34,0.77
34.5,0.66
35,0.51
35.5,0.24
36,0.15
36.5,0.02
37,0.12
37.5,0.16
38,0.17
38.5,0.36
39,0.45
39.5,0.505
40,0.56
40.5,0.61
41,0.64
41.5,0.64
42,0.67
42.5,0.67
43,0.67
43.5,0.67
44,0.66
44.5,0.66
45,0.66
45.5,0.66
46,0.66
46.5,0.66
47,0.66
47.5,0.66
48,0.66
48.5,0.66
49,0.66
49.5,0.66
50,0.66
50.5,0.66
51,0.66
51.5,0.66
52,0.66
52.5,0.66
53,0.66
53.5,0.66
54,0.66
54.5,0.59
55,0.49
55.5,0.43
56,0.39
56.5,0.33
57,0.23
57.5,0.14
58,0.06
58.5,0.05
59,0
59.5,0
60,0
60.5,0
61,0
61.5,0.24
62,0.29
62.5,0.31
63,0.37
63.5,0.49
64,0.57
64.5,0.66
65,0.74
65.5,0.8
66,0.82
66.5,0.86
67,0.88
67.5,0.92
68,0.92
68.5,0.94
69,0.95
69.5,0.82
70,0.79
70.5,0.79
71,0.785
71.5,0.73
72,0.7
72.5,0.67
73,0.53
73.5,0.46
74,0.41
74.5,0.4
75,0.4
75.5,0.4
76,0.4
76.5,0.31
77,0.26
77.5,0.24
78,0.18
78.5,0.13
79,0.09
79.5,0.07
80,0.03
80.5,0.04
81,0.04
81.5,0.06
82,0.08
82.5,0.06
83,0.04
83.5,0.04
84,0.03
84.5,0.02
85,0.02
85.5,0.02
86,0.02
86.5,0.11
87,0.23
87.5,0.34
88,0.39
88.5,0.46
89,0.51
89.5,0.59
90,0.66
90.5,0.71
91,0.71
91.5,0.71
92,0.71
92.5,0.71
93,0.71
93.5,0.71
94,0.75
94.5,0.75
95,0.75
95.5,0.75
96,0.74
96.5,0.73
97,0.73
97.5,0.73
98,0.75
98.5,0.78
99,0.78
99.5,0.78
100,0.78
100.5,0.78
101,0.78
101.5,0.78
102,0.78
102.5,0.78
103,0.78
103.5,0.78
104,0.78
104.5,0.78
105,0.78
105.5,0.78
106,0.78
106.5,0.78
107,0.78
107.5,0.78
108,0.78
108.5,0.78
109,0.78
109.5,0.78
110,0.78
110.5,0.78
111,0.78
111.5,0.78
112,0.78
112.5,0.78
113,0.78
113.5,0.78
114,0.78
114.5,0.78
115,0.78
115.5,0.78
116,0.78
116.5,0.78
117,0.78
117.5,0.78
118,0.78
118.5,0.78
119,0.78
119.5,0.78
120,0.78
120.5,0.78
121,0.78
121.5,0.78
122,0.78
122.5,0.78
123,0.78
123.5,0.78
124,0.78
124.5,0.78
125,0.78
125.5,0.78
126,0.78
126.5,0.78
127,0.78
127.5,0.78
128,0.78
128.5,0.78
129,0.78
129.5,0.78
130,0.78
130.5,0.78
131,0.78
131.5,0.78
132,0.78
132.5,0.78
133,0.78
133.5,0.78
134,0.78
134.5,0.78
135,0.78
135.5,0.78
136,0.78
136.5,0.78
137,0.78
137.5,0.82
138,0.82
138.5,0.82
139,0.82
139.5,0.82
140,0.82
140.5,0.82
141,0.82
141.5,0.82
142,0.82
142.5,0.82
143,0.82
143.5,0.82
144,0.82
144.5,0.82
145,0.74
145.5,0.255
146,0
146.5,0
147,0
147.5,0.02
148,0.05
148.5,0.12
149,0.12
149.5,0.12
150,0.12
150.5,0.18
151,0.18
151.5,0.18
152,0.24
152.5,0.24
153,0.24
153.5,0.24
154,0.24
154.5,0.24
155,0.24
155.5,0.24
156,0.24
156.5,0.34
157,0.4
157.5,0.46
158,0.46
158.5,0.48
159,0.51
159.5,0.53
160,0.55
160.5,0.57
161,0.57
161.5,0.565
162,0.56
162.5,0.54
163,0.54
163.5,0.49
164,0.4
164.5,0.33
165,0.29
165.5,0.22
166,0.18
166.5,0.1
167,0.03
167.5,0.02
168,0
168.5,0
169,0
169.5,0
170,0.12
170.5,0.2
171,0.23
171.5,0.3
172,0.37
172.5,0.4
173,0.46
173.5,0.54
174,0.6
174.5,0.67
175,0.69
175.5,0.72
176,0.82
176.5,0.86
177,0.89
177.5,0.89
178,0.89
178.5,0.89
179,0.89
179.5,0.89
180,0.92
180.5,0.9
181,0.82
181.5,0.82
182,0.76
182.5,0.72
183,0.69
183.5,0.66
184,0.63
184.5,0.55
185,0.475
185.5,0.36
186,0.33
186.5,0.3
187,0.22
187.5,0.18
188,0.15
188.5,0.12
189,0.08
189.5,0.07
190,0.07
190.5,0.08
191,0.1
191.5,0.11
192,0.13
192.5,0.15
193,0.15
193.5,0.15
194,0.12
194.5,0.12
195,0.12
195.5,0.12
196,0.3
196.5,0.38
197,0.38
197.5,0.47
198,0.48
198.5,0.59
199,0.6
199.5,0.66
200,0.7
200.5,0.76
201,0.82
201.5,0.86
202,0.93
202.5,0.985
203,0.93
203.5,0.83
204,0.7
204.5,0.56
205,0.44
205.5,0.35
206,0.27
206.5,0.21
207,0.276666666666667
207.5,0.57
208,0.66
208.5,0.74
209,0.79
209.5,0.85
210,0.85
210.5,0.85
211,0.85
211.5,0.84
212,0.79
212.5,0.7
213,0.57
213.5,0.4
214,0.305
214.5,0.28
215,0.22
215.5,0.1
216,0
216.5,0.32
217,0.46
217.5,0.67
218,0.81
218.5,0.83
219,0.83
219.5,0.8
220,0.76
220.5,0.71
221,0.71
221.5,0.71
222,0.71
222.5,0.71
223,0.7
223.5,0.7
224,0.7
224.5,0.7
225,0.7
225.5,0.7
226,0.7
226.5,0.7
227,0.7
227.5,0.7
228,0.7
228.5,0.7
229,0.7
229.5,0.7
230,0.7
230.5,0.7
231,0.7
231.5,0.7
232,0.7
232.5,0.7
233,0.7
233.5,0.7
234,0.7
234.5,0.7
235,0.7
235.5,0.58
236,0.56
236.5,0.54
237,0.5
237.5,0.42
238,0.4
238.5,0.35
239,0.33
239.5,0.32
240,0.31
240.5,0.31
241,0.28
241.5,0.43
242,0.54
242.5,0.63
243,0.73
243.5,0.83
244,0.88
