Time_seconds,Data
0,0.5
0.5,0.5
1,0.49
1.5,0.47
2,0.47
2.5,0.47
3,0.47
3.5,0.47
4,0.47
4.5,0.47
5,0.47
5.5,0.47
6,0.47
6.5,0.47
7,0.47
7.5,0.47
8,0.47
8.5,0.47
9,0.48
9.5,0.48
10,0.48
10.5,0.48
11,0.48
11.5,0.48
12,0.48
12.5,0.48
13,0.48
13.5,0.48
14,0.48
14.5,0.48
15,0.48
15.5,0.48
16,0.48
16.5,0.48
17,0.48
17.5,0.48
18,0.48
18.5,0.48
19,0.41
19.5,0.315
20,0.09
20.5,0.005
21,0
21.5,0
22,0
22.5,0.17
23,0.09
23.5,0.07
24,0.71
24.5,0.82
25,0.82
25.5,0.82
26,0.82
26.5,0.83
27,0.9
27.5,0.9
28,0.9
28.5,0.92
29,0.97
29.5,0.97
30,0.97
30.5,0.97
31,0.97
31.5,0.97
32,0.97
32.5,0.97
33,0.97
33.5,0.97
34,0.97
34.5,0.97
35,0.97
35.5,0.97
36,0.97
36.5,0.97
37,0.97
37.5,0.97
38,0.97
38.5,0.97
39,0.97
39.5,0.97
40,0.97
40.5,0.05
41,0.01
41.5,0
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0.4
45,0.41
45.5,0.47
46,0.49
46.5,0.49
47,0.49
47.5,0.49
48,0.49
48.5,0.49
49,0.49
49.5,0.49
50,0.49
50.5,0.39
51,0.49
51.5,0.49
52,0.48
52.5,0.48
53,0.48
53.5,0.48
54,0.44
54.5,0.31
55,0.16
55.5,0.09
56,0.02
56.5,0.01
57,0.01
57.5,0
58,0
58.5,0
59,0
59.5,0
60,0
60.5,0
61,0
61.5,0
62,0
62.5,0.04
63,0.16
63.5,0.255
64,0.36
64.5,0.43
65,0.53
65.5,0.58
66,0.59
66.5,0.6
67,0.68
67.5,0.84
68,0.98
68.5,0.99
69,0.9
69.5,0.82
70,0.82
70.5,0.84
71,0.84
71.5,0.84
72,0.84
72.5,0.82
73,0.44
73.5,0.3
74,0.26
74.5,0.22
75,0.2
75.5,0.16
76,0.1
76.5,0.09
77,0.07
77.5,0.07
78,0.04
78.5,0
79,0
79.5,0
80,0
80.5,0.03
81,0.03
81.5,0.02
82,0.03
82.5,0.12
83,0
83.5,0
84,0
84.5,0
85,0
85.5,0
86,0
86.5,0
87,0
87.5,0
88,0.04
88.5,0.03
89,0.16
89.5,0.31
90,0.52
90.5,0.6
91,0.6
91.5,0.55
92,0.53
92.5,0.53
93,0.53
93.5,0.53
94,0.53
94.5,0.53
95,0.53
95.5,0.53
96,0.52
96.5,0.54
97,0.54
97.5,0.54
98,0.54
98.5,0.54
99,0.54
99.5,0.54
100,0.54
100.5,0.54
101,0.54
101.5,0.54
102,0.54
102.5,0.54
103,0.54
103.5,0.54
104,0.54
104.5,0.535
105,0.52
105.5,0.54
106,0.54
106.5,0.52
107,0.51
107.5,0.51
108,0.51
108.5,0.51
109,0.51
109.5,0.51
110,0.51
110.5,0.51
111,0.51
111.5,0.51
112,0.51
112.5,0.55
113,0.57
113.5,0.53
114,0.53
114.5,0.55
115,0.56
115.5,0.56
116,0.57
116.5,0.57
117,0.57
117.5,0.57
118,0.57
118.5,0.56
119,0.56
119.5,0.56
120,0.56
120.5,0.56
121,0.56
121.5,0.56
122,0.56
122.5,0.56
123,0.56
123.5,0.56
124,0.56
124.5,0.56
125,0.56
125.5,0.56
126,0.55
126.5,0.55
127,0.55
127.5,0.55
128,0.55
128.5,0.55
129,0.55
129.5,0.55
130,0.55
130.5,0.55
131,0.55
131.5,0.55
132,0.55
132.5,0.55
133,0.55
133.5,0.55
134,0.55
134.5,0.55
135,0.55
135.5,0.55
136,0.55
136.5,0.55
137,0.55
137.5,0.54
138,0.54
138.5,0.54
139,0.54
139.5,0.54
140,0.54
140.5,0.54
141,0.54
141.5,0.54
142,0.54
142.5,0.54
143,0.54
143.5,0.51
144,0.205
144.5,0.09
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0.04
151,0.19
151.5,0.35
152,0.6
152.5,0.6
153,0.61
153.5,0.615
154,0.58
154.5,0.52
155,0.52
155.5,0.52
156,0.53
156.5,0.53
157,0.53
157.5,0.53
158,0.56
158.5,0.6
159,0.6
159.5,0.6
160,0.53
160.5,0.51
161,0.51
161.5,0.51
162,0.51
162.5,0.5
163,0.5
163.5,0.5
164,0.5
164.5,0.4
165,0.26
165.5,0.21
166,0.03
166.5,0
167,0
167.5,0
168,0
168.5,0
169,0
169.5,0
170,0
170.5,0
171,0.11
171.5,0.07
172,0.25
172.5,0.56
173,0.56
173.5,0.56
174,0.74
174.5,0.76
175,0.76
175.5,0.83
176,0.88
176.5,0.91
177,0.95
177.5,0.95
178,0.95
178.5,0.95
179,0.95
179.5,0.95
180,0.95
180.5,0.95
181,0.95
181.5,0.74
182,0.6
182.5,0.41
183,0.36
183.5,0.27
184,0.23
184.5,0.24
185,0.21
185.5,0.2
186,0.2
186.5,0.18
187,0.18
187.5,0.18
188,0.18
188.5,0.18
189,0.18
189.5,0.18
190,0.19
190.5,0.19
191,0.08
191.5,0.02
192,0.01
192.5,0.01
193,0.01
193.5,0.04
194,0.04
194.5,0.05
195,0.06
195.5,0.08
196,0.08
196.5,0.08
197,0.09
197.5,0.5
198,0.55
198.5,0.51
199,0.5
199.5,0.5
200,0.5
200.5,0.52
201,0.65
201.5,0.96
202,0.98
202.5,0.99
203,0.99
203.5,0.97
204,0.7
204.5,0.49
205,0.25
205.5,0.07
206,0.01
206.5,0.1
207,0.11
207.5,0.25
208,0.36
208.5,0.64
209,0.79
209.5,0.85
210,0.92
210.5,0.95
211,0.95
211.5,0.95
212,0.85
212.5,0.715
213,0.57
213.5,0.54
214,0.58
214.5,0.15
215,0.05
215.5,0.01
216,0
216.5,0
217,0.22
217.5,0.44
218,0.55
218.5,0.62
219,0.62
219.5,0.62
220,0.62
220.5,0.62
221,0.62
221.5,0.62
222,0.62
222.5,0.62
223,0.53
223.5,0.51
224,0.53
224.5,0.53
225,0.53
225.5,0.53
226,0.53
226.5,0.53
227,0.53
227.5,0.53
228,0.53
228.5,0.53
229,0.53
229.5,0.53
230,0.53
230.5,0.53
231,0.53
231.5,0.52
232,0.52
232.5,0.45
233,0.33
233.5,0.305
234,0.28
234.5,0.25
235,0.27
235.5,0.28
236,0.25
236.5,0.17
237,0.17
237.5,0.17
238,0.17
238.5,0.17
239,0.17
239.5,0.15
240,0.14
240.5,0.05
241,0.05
241.5,0.07
242,0.19
242.5,0.41
243,0.55
243.5,0.73
244,0.85
244.5,0.82
245,0.83
245.5,0.85
246,0.99
246.5,0.99
247,0.99
247.5,0.99
248,0.99
248.5,0.99
249,0.99
249.5,0.99
250,0.99
