Time_seconds,Data
0,0.5
0.5,0.5
1,0.5
1.5,0.5
2,0.5
2.5,0.5
3,0.5
3.5,0.5
4,0.5
4.5,0.5
5,0.5
5.5,0.5
6,0.5
6.5,0.5
7,0.5
7.5,0.5
8,0.5
8.5,0.5
9,0.5
9.5,0.5
10,0.5
10.5,0.5
11,0.5
11.5,0.5
12,0.5
12.5,0.5
13,0.5
13.5,0.5
14,0.5
14.5,0.44
15,0.35
15.5,0.32
16,0.29
16.5,0.29
17,0.29
17.5,0.275
18,0.22
18.5,0.2
19,0.18
19.5,0.15
20,0.15
20.5,0.15
21,0.12
21.5,0.12
22,0.12
22.5,0.19
23,0.29
23.5,0.37
24,0.425
24.5,0.46
25,0.49
25.5,0.53
26,0.55
26.5,0.64
27,0.72
27.5,0.83
28,0.83
28.5,0.83
29,0.83
29.5,0.85
30,0.85
30.5,0.86
31,0.9
31.5,0.91
32,0.91
32.5,0.92
33,0.92
33.5,0.86
34,0.81
34.5,0.71
35,0.67
35.5,0.51
36,0.3
36.5,0.2
37,0.15
37.5,0.15
38,0.08
38.5,0.07
39,0.07
39.5,0.07
40,0.07
40.5,0.07
41,0.07
41.5,0.07
42,0.08
42.5,0.14
43,0.2
43.5,0.25
44,0.32
44.5,0.32
45,0.32
45.5,0.46
46,0.6
46.5,0.59
47,0.51
47.5,0.51
48,0.51
48.5,0.51
49,0.51
49.5,0.51
50,0.51
50.5,0.51
51,0.51
51.5,0.51
52,0.51
52.5,0.51
53,0.51
53.5,0.52
54,0.41
54.5,0.35
55,0.34
55.5,0.3
56,0.26
56.5,0.21
57,0.18
57.5,0.14
58,0.14
58.5,0.08
59,0.04
59.5,0.04
60,0.03
60.5,0.01
61,0
61.5,0.02
62,0.12
62.5,0.17
63,0.21
63.5,0.23
64,0.28
64.5,0.37
65,0.455
65.5,0.63
66,0.72
66.5,0.79
67,0.84
67.5,0.89
68,0.96
68.5,0.97
69,0.97
69.5,0.97
70,0.99
70.5,0.93
71,0.91
71.5,0.91
72,0.9
72.5,0.85
73,0.75
73.5,0.66
74,0.54
74.5,0.42
75,0.28
75.5,0.09
76,0.08
76.5,0.08
77,0.04
77.5,0
78,0
78.5,0
79,0
79.5,0
80,0.01
80.5,0.03
81,0.03
81.5,0.03
82,0.03
82.5,0.03
83,0.03
83.5,0.03
84,0.03
84.5,0.03
85,0.03
85.5,0.03
86,0.03
86.5,0.03
87,0.03
87.5,0.03
88,0.03
88.5,0.31
89,0.43
89.5,0.51
90,0.57
90.5,0.57
91,0.57
91.5,0.57
92,0.55
92.5,0.56
93,0.56
93.5,0.56
94,0.57
94.5,0.57
95,0.58
95.5,0.59
96,0.6
96.5,0.6
97,0.61
97.5,0.62
98,0.62
98.5,0.63
99,0.66
99.5,0.66
100,0.67
100.5,0.7
101,0.7
101.5,0.7
102,0.66
102.5,0.66
103,0.66
103.5,0.64
104,0.6
104.5,0.6
105,0.6
105.5,0.6
106,0.6
106.5,0.6
107,0.6
107.5,0.6
108,0.6
108.5,0.6
109,0.6
109.5,0.6
110,0.6
110.5,0.6
111,0.6
111.5,0.6
112,0.6
112.5,0.6
113,0.6
113.5,0.6
114,0.6
114.5,0.6
115,0.6
115.5,0.6
116,0.6
116.5,0.6
117,0.6
117.5,0.6
118,0.6
118.5,0.6
119,0.6
119.5,0.6
120,0.6
120.5,0.6
121,0.6
121.5,0.6
122,0.6
122.5,0.6
123,0.6
123.5,0.6
124,0.6
124.5,0.6
125,0.6
125.5,0.6
126,0.6
126.5,0.6
127,0.6
127.5,0.6
128,0.6
128.5,0.6
129,0.6
129.5,0.6
130,0.6
130.5,0.6
131,0.6
131.5,0.6
132,0.6
132.5,0.6
133,0.6
133.5,0.6
134,0.6
134.5,0.6
135,0.6
135.5,0.6
136,0.6
136.5,0.6
137,0.6
137.5,0.6
138,0.6
138.5,0.6
139,0.6
139.5,0.6
140,0.6
140.5,0.6
141,0.6
141.5,0.6
142,0.6
142.5,0.6
143,0.58
143.5,0.51
144,0.41
144.5,0.28
145,0.08
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0.05
149.5,0.13
150,0.23
150.5,0.3
151,0.34
151.5,0.4
152,0.42
152.5,0.46
153,0.505
153.5,0.55
154,0.55
154.5,0.55
155,0.58
155.5,0.64
156,0.65
156.5,0.65
157,0.65
157.5,0.65
158,0.65
158.5,0.65
159,0.65
159.5,0.65
160,0.65
160.5,0.65
161,0.65
161.5,0.59
162,0.52
162.5,0.48
163,0.44
163.5,0.42
164,0.34
164.5,0.27
165,0.22
165.5,0.13
166,0.13
166.5,0.12
167,0.07
167.5,0.05
168,0.05
168.5,0
169,0
169.5,0
170,0.04
170.5,0.08
171,0.12
171.5,0.22
172,0.23
172.5,0.23
173,0.23
173.5,0.23
174,0.23
174.5,0.255
175,0.38
175.5,0.515
176,0.59
176.5,0.7
177,0.8
177.5,0.88
178,0.9
178.5,0.92
179,0.82
179.5,0.78
180,0.74
180.5,0.68
181,0.67
181.5,0.6
182,0.53
182.5,0.48
183,0.42
183.5,0.33
184,0.19
184.5,0.15
185,0.13
185.5,0.12
186,0.05
186.5,0.02
187,0.01
187.5,0
188,0
188.5,0
189,0
189.5,0.05
190,0.05
190.5,0.05
191,0.07
191.5,0.07
192,0.07
192.5,0.07
193,0.07
193.5,0.07
194,0.07
194.5,0.07
195,0.11
195.5,0.16
196,0.26
196.5,0.31
197,0.36
197.5,0.44
198,0.53
198.5,0.53
199,0.53
199.5,0.53
200,0.53
200.5,0.53
201,0.53
201.5,0.735
202,0.99
202.5,0.99
203,0.99
203.5,0.8
204,0.7
204.5,0.57
205,0.15
205.5,0.15
206,0.15
206.5,0.225
207,0.42
207.5,0.46
208,0.53
208.5,0.54
209,0.51
209.5,0.52
210,0.58
210.5,0.58
211,0.61
211.5,0.61
212,0.56
212.5,0.43
213,0.34
213.5,0.24
214,0.22
214.5,0.19
215,0.14
215.5,0.095
216,0.185
216.5,0.41
217,0.49
217.5,0.56
218,0.57
218.5,0.57
219,0.57
219.5,0.57
220,0.57
220.5,0.57
221,0.57
221.5,0.57
222,0.57
222.5,0.57
223,0.57
223.5,0.57
224,0.56
224.5,0.56
225,0.56
225.5,0.56
226,0.56
226.5,0.56
227,0.57
227.5,0.57
228,0.57
228.5,0.57
229,0.57
229.5,0.57
230,0.57
230.5,0.57
231,0.57
231.5,0.57
232,0.57
232.5,0.57
233,0.57
233.5,0.57
234,0.57
234.5,0.57
235,0.57
235.5,0.57
236,0.57
236.5,0.54
237,0.51
237.5,0.45
238,0.4
238.5,0.38
239,0.38
239.5,0.32
240,0.25
240.5,0.23
241,0.23
241.5,0.48
242,0.54
242.5,0.59
243,0.62
243.5,0.62
244,0.78
244.5,0.82
245,0.84
